city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Chelles,48.8833,2.6000,France,FR,Île-de-France,,54917,54917
Villejuif,48.7919,2.3636,France,FR,Île-de-France,,54753,54753
Narbonne,43.1836,3.0042,France,FR,Occitanie,minor,54700,54700
La Roche-sur-Yon,46.6705,-1.4260,France,FR,Pays de la Loire,minor,54372,54372
Cholet,47.0600,-0.8783,France,FR,Pays de la Loire,minor,53917,53917
Saint-Quentin,49.8486,3.2864,France,FR,Hauts-de-France,minor,53816,53816
Bobigny,48.9106,2.4397,France,FR,Île-de-France,minor,53640,53640
Bondy,48.9022,2.4828,France,FR,Île-de-France,,53353,53353
Vannes,47.6559,-2.7603,France,FR,Bretagne,minor,53352,53352
Clamart,48.8014,2.2628,France,FR,Île-de-France,,52971,52971
Fontenay-sous-Bois,48.8517,2.4772,France,FR,Île-de-France,,52939,52939
Fréjus,43.4330,6.7370,France,FR,Provence-Alpes-Côte d’Azur,,52672,52672
Arles,43.6767,4.6278,France,FR,Provence-Alpes-Côte d’Azur,minor,52548,52548
Sartrouville,48.9372,2.1644,France,FR,Île-de-France,,51967,51967
Corbeil-Essonnes,48.6139,2.4820,France,FR,Île-de-France,,51292,51292
Bayonne,43.4900,-1.4800,France,FR,Nouvelle-Aquitaine,minor,51228,51228
Saint-Ouen,48.9123,2.3342,France,FR,Île-de-France,,51108,51108
Sevran,48.9333,2.5333,France,FR,Île-de-France,,51016,51016
Cagnes-sur-Mer,43.6644,7.1489,France,FR,Provence-Alpes-Côte d’Azur,,50928,50928
Massy,48.7309,2.2713,France,FR,Île-de-France,,50833,50833
Grasse,43.6667,6.9167,France,FR,Provence-Alpes-Côte d’Azur,minor,50396,50396
Montrouge,48.8172,2.3219,France,FR,Île-de-France,,50260,50260
Vincennes,48.8478,2.4392,France,FR,Île-de-France,,49891,49891
Vaulx-en-Velin,45.7768,4.9186,France,FR,Auvergne-Rhône-Alpes,,49658,49658
Laval,48.0733,-0.7689,France,FR,Pays de la Loire,minor,49492,49492
Suresnes,48.8700,2.2200,France,FR,Île-de-France,,49145,49145
Albi,43.9289,2.1464,France,FR,Occitanie,minor,48970,48970
Martigues,43.4053,5.0475,France,FR,Provence-Alpes-Côte d’Azur,,48188,48188
Évreux,49.0200,1.1500,France,FR,Normandie,minor,47733,47733
Brive-la-Gaillarde,45.1583,1.5321,France,FR,Nouvelle-Aquitaine,minor,46916,46916
Gennevilliers,48.9333,2.3000,France,FR,Île-de-France,,46907,46907
Charleville-Mézières,49.7719,4.7161,France,FR,Grand Est,minor,46428,46428
Saint-Herblain,47.2122,-1.6497,France,FR,Pays de la Loire,,46268,46268
Aubagne,43.2908,5.5708,France,FR,Provence-Alpes-Côte d’Azur,,46268,46268
Rosny-sous-Bois,48.8667,2.4833,France,FR,Île-de-France,,46207,46207
Saint-Priest,45.6972,4.9447,France,FR,Auvergne-Rhône-Alpes,,46207,46207
Saint-Malo,48.6481,-2.0075,France,FR,Bretagne,minor,46097,46097
Blois,47.5939,1.3281,France,FR,Centre-Val de Loire,minor,46086,46086
Carcassonne,43.2100,2.3500,France,FR,Occitanie,minor,46031,46031
Bastia,42.7008,9.4503,France,FR,Corsica,,45715,45715
Salon-de-Provence,43.6406,5.0972,France,FR,Provence-Alpes-Côte d’Azur,,45528,45528
Meudon,48.8123,2.2382,France,FR,Île-de-France,,45352,45352
Choisy-le-Roi,48.7630,2.4090,France,FR,Île-de-France,,45331,45331
